,username,description,location,following,followers,totaltweets,tweetid,source,tweetdate,tweetlength,likescount,retweetcount,text,hashtags,len_hashtags,city,country,Subjectivity,Polarity,Analysis
1825,JontyAtThePaget,"Quality Improvement Project Manager helping improve patient safety & care (https://t.co/NQNgxXCTdg) #JPUH #NHS #AgentOfChange, Husband, father of 3","England, United Kingdom",421,235,484,1336406851043389440,ANDROID,2020-12-08,126,0,0,covid19vaccine vday,"['COVID19Vaccine', 'vday']",2,England,ENGLAND,0.0,0.0,Neutral
1828,WaiLeeHo,"Local Councillor | Businessman | Trying to make a positive change with passion, kindness and sometimes a dry sense of humour.","England, United Kingdom",589,737,5464,1336406643026878465,WEB,2020-12-08,280,2,0,idk feeling stoic four hours zoom calls ive today regard covid19vaccine really tell lot society treat vulnerable case saving lives greatbritain uk,"['COVID19Vaccine', 'GreatBritain', 'UK']",3,England,ENGLAND,0.35,-0.15,Negative
1830,ElkGroveNews,News and opinion for the Elk Grove California and the surrounding areas of Sacramento County,"Elk Grove, California",273,1671,16852,1336406522457280513,WEB,2020-12-08,85,0,0,covid19vaccines already underway uk trumpispathetic,"['COVID19Vaccine', 'TrumpIsPathetic']",2,Elk Grove,USA,0.0,0.0,Neutral
1831,NWAngliaFT,North West Anglia NHS Foundation Trust. Working together to provide outstanding care for local communities @HinchHospital @PboroCityHosp @Stamford_Hosp,"East, England",700,2246,3179,1336406444334174209,TWEETDECK,2020-12-08,266,59,7,monumental day thank much staff worked hard weekend week make happen fantastic team thank every one teamnorthwestanglia covid19vaccine,"['TeamNorthWestAnglia', 'COVID19Vaccine']",2,East,ENGLAND,0.5472222222222222,0.10277777777777779,Positive
1833,SupermanWv17,"Christian for Liberty, Libertarian for Christ. Taxation is theft and inflation is the most sinister tax of all. $USD = 💩. Silver and #Bitcoin = 💰. Gal 5:1","Morgantown, WV",297,72,529,1336406350805417984,WEB,2020-12-08,276,0,0,devout free marketeer parttime conspiracy theorist really weird spot covid19vaccine one hand like see deregulation removing red tape designed slow progress hand never trust take vaccine endthefda,"['COVID19Vaccine', 'EndTheFDA']",2,Morgantown,USA,0.55,-0.1,Negative
1834,KellyBacon,"4w5 & 4w3 sx/so|🌊f b r🧢|✨ Kelly Bacon - Philosopher, Visionary, Damsel-in-distress, Spiritual Being | Bacon Spirituality - subscribe: https://t.co/tvYtJL7xpa","CA, USA | IG: @kelly_bacon ",21971,19984,16417,1336406309986439168,WEB,2020-12-08,264,2,0,talking covid19 amp covid19vaccine amp someone named shakespear got 2nd shot tragic many needless deaths organ damage survivors definitely poetic,"['covid19', 'COVID19Vaccine']",2,CA,USA,0.6,-0.075,Negative
1835,GCalini,#Colorectal research fellow @MayoClinic | #Surgery resident @UNIUD | Outdoor life lover and bike addicted | Husband,"Minnesota, USA",179,65,222,1336406264516108292,APPLE,2020-12-08,121,0,0,christmaspenguin going mark history covid19vaccine tcoxcversi9gc,"['ChristmasPenguin', 'COVID19Vaccine']",2,Minnesota,USA,0.0,0.0,Neutral
1836,Lady_Colleen,"Guttersnipe.

Jokes are my style of seriousness.","Devon, UK",3298,3388,99478,1336406202130034688,ANDROID,2020-12-08,219,0,0,really wanted blow trumpet covid19vaccine asked exploitation pandemic profit tory chumocracy,"['COVID19Vaccine', 'chumocracy']",2,Devon,ENGLAND,0.2,0.2,Positive
1842,dejiabiola,"Husband, Dad, Community Advocate, Professional Engineer from the Forest City, #LdnOnt 🇨🇦","London, Ontario",1359,639,2136,1336405927273099267,APPLE,2020-12-08,56,1,0,today dec 8 vday bye bye covid19 covid19vaccine,"['COVID19', 'COVID19Vaccine']",2,London,CANADA,0.0,0.0,Neutral
1843,hereandnowthen,I tweet my own feelings which tbh suck lately !! #followback within reason !,"Brighton, England",448,454,4463,1336405814328877062,APPLE,2020-12-08,158,0,0,ironically deaths wont recorded covid19 related oh irony follow covid19vaccine die natural causes,"['COVID19', 'COVID19Vaccine']",2,Brighton,ENGLAND,0.4,0.05,Positive
1845,tjohara74,"AU/DSU MBA lecturer in V'nam (Strat, L'ship, Fin) 8yrs: VNU, NEU. PGSM. ARMY ATC, OCS, Airborne. MBA/MSF. Early Childhood & VN War research. Pilot, sailor, golf","Bos, V. Nam, KL, S'pore, Jpn",1944,465,18484,1336405736440672263,APPLE,2020-12-08,290,0,0,covid19vaccine incredible day wish data would hv bef nov 3 amp amp achieved miracle amp hussein obama shamefully kept lying ppl cant win except lying amp cheating,['COVID19Vaccine'],1,Bos,VNAMKLSPOREJPN,0.65,0.8500000000000001,Positive
1848,quickhitstv,"Subscribe to our newsletter:
https://t.co/pG26GSCtJR","New York, New York",320,506,1067,1336405588838920195,WEB,2020-12-08,144,1,1,quick hits news podcast uk begins covid19vaccine inoculations,"['UK', 'COVID19Vaccine']",2,New York,NEWYORK,0.5,0.3333333333333333,Positive
1849,sheridanvoysey,"Writer, speaker & broadcaster. Author of The Making of Us, Resurrection Year, Reflect with Sheridan + more. BBC Radio 2's Pause for Thought","Oxford, United Kingdom",1777,4997,18496,1336405473491357697,APPLE,2020-12-08,294,12,0,first peerreviewed results covid19vaccine probably paper wifes career weeks work months research congratulations oxfordvaccine covid19 gtgt,"['COVID19Vaccine', 'OxfordVaccine', 'COVID19']",3,Oxford,ENGLAND,0.3333333333333333,0.25,Positive
1851,tashmilijasevic,"Toronto area healthcare quality, patient safety leader & researcher. MBA/PhD. Wife, mom, educator, writer and artist. Human. Views are my own.","Toronto, Ontario",230,336,3692,1336405439693680651,APPLE,2020-12-08,58,0,0,yay scientists covid19vaccine,['COVID19Vaccine'],1,Toronto,CANADA,0.0,0.0,Neutral
1857,ShaunChornley,"Won 2004 Memorial Cup Championship Ring, and 2003, 2005, and 2009 WHL Championship as a Player Scout/ Coordinator of NHL Legendary Hockey Heroes Game at Wpg.","Winnipeg, Mb, Canada",3172,1033,4245,1336405180787666947,ANDROID,2020-12-08,97,2,0,history way recovery covid19vaccine,['COVID19Vaccine'],1,Winnipeg,CANADA,0.0,0.0,Neutral
1858,StevenHoran11,My alt acct to tweet all the things I can’t say on much bigger main platform. Ex journalist now biz leader sick of #cult45 atrocities.,"The Ballot Box in Nov, 2020",328,59,2962,1336405044825120769,APPLE,2020-12-08,122,2,0,give intelligent people covid19vaccine,['COVID19Vaccine'],1,The Ballot Box in Nov,,0.9,0.8,Positive
1859,Lady_Colleen,"Guttersnipe.

Jokes are my style of seriousness.","Devon, UK",3298,3388,99478,1336404968606199812,ANDROID,2020-12-08,252,2,0,caught catchup rather let wriggle hook cathy wasted opportunity wonder fear tougher questions next time covid19vaccine c4news,"['COVID19Vaccine', 'C4News']",2,Devon,ENGLAND,0.0,-0.1,Negative
1864,HumanGentle,"Would it make any difference on your opinion about me if I described who I'm or what I do?
Play the game, not the player my friend otherwise you will look weak!","Melbourne, Australia",114,24,340,1336404748870713345,WEB,2020-12-08,325,2,0,oxfordastra finally admit case serious neurological illness transverse myelitis reported 14 days covid19 vaccine booster shot possibly related vaccination tcell autoimmune reactions fact covid19vaccine,['covid19vaccine'],1,Melbourne,USA,0.6888888888888888,-0.1111111111111111,Negative
1871,dawnyaspectx,"Founder and Pres. Aspectx, Professional Marketer, PR Professional, CI Analyst, & part-time CEO/Executive Director of the Technology Association of Louisville KY","Louisville, KY USA",983,738,14296,1336403934957752328,WEB,2020-12-08,142,0,0,11 kentucky hospitals get 12675 doses first covid19 vaccine month via covid19vaccine,['COVID19Vaccine'],1,Louisville,USA,0.3333333333333333,0.25,Positive
1872,DDIndialive,"Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India’s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d","New Delhi, India",530,36236,49367,1336403928464801794,WEB,2020-12-08,244,5,1,mexican president andres manuel lopez obrador said hell wait turn covid19vaccine officials detailed plan prioritises health care workers elderly receive first doses vaccines,['COVID19Vaccine'],1,New Delhi,INDIA,0.3611111111111111,0.21666666666666667,Positive
1874,phxjnews,"Jewish News of Greater Phoenix is an independent community weekly newspaper. Please send comments, complaints and suggestions to editor@jewishaz.com","Phoenix, AZ",499,2976,7016,1336403738026635264,WEB,2020-12-08,61,0,0,israel prepares covid19vaccine,"['Israel', 'COVID19Vaccine']",2,Phoenix,USA,0.0,0.0,Neutral
1875,Marisol41256868,🥰 Smile It Will Confuse Your Enemies...🥰 Instagram: itsonly_me_mari,"Verona, NJ",387,75,2506,1336403603221831683,APPLE,2020-12-08,93,0,0,vaccine need dose dont want wear mask anymore covid19vaccine,['COVID19Vaccine'],1,Verona,USA,0.0,0.0,Neutral
1881,tea_milk2sugars,,"London, England",8,7,111,1336403390507651072,APPLE,2020-12-08,87,0,0,dont surprise covid19vaccine covid19 covidvaccine,"['COVID19Vaccine', 'COVID19', 'CovidVaccine']",3,London,ENGLAND,0.0,0.0,Neutral
1883,kvverlander,"Business management @Microsoft | skiing, hiking, and coffee drinking enthusiast | Views = my own. ⛷⛰☕️","Seattle, WA",397,155,251,1336402983018369024,APPLE,2020-12-08,64,0,0,absolutely incredible covid19vaccine,['COVID19Vaccine'],1,Seattle,USA,0.9,0.9,Positive
1888,david_arkin,"Working on the future of local media as Chief Content & Product Officer at O'Rourke Media Group. Past @kprc2, @LocalMediaAssoc, @impactnews & @gatehousemedia","Austin, TX",1861,1637,4662,1336402561931341824,BUFFER,2020-12-08,279,1,0,lots questions many unanswered covid19vaccine work starting qampa answering know good place start love idea adding build incredibly useful updated guide story evolves,['COVID19Vaccine'],1,Austin,USA,0.3333333333333333,0.3166666666666667,Positive
1889,Pazza1989,Life is full is great memories❤️& Battlescars 🖤,"Uckfield, England",1031,310,10543,1336402388626903040,APPLE,2020-12-08,139,2,0,grandparents call say vaccine next week one first east sussex vaccineday covid19vaccine,"['VaccineDay', 'COVID19Vaccine']",2,Uckfield,ENGLAND,0.16666666666666666,0.125,Positive
1891,PieroCastellano,"I'm a photojournalist and I write in Italian and English. I work on street photography, cultural heritage, rights and struggle for them. RT not endorsement. 🧿","Italy, Turkey, Europe",1923,10084,144319,1336402299644747777,TWEETDECK,2020-12-08,102,1,0,race covid19vaccine seems also race diversity inclusion,['COVID19Vaccine'],1,Italy,TURKEYEUROPE,0.0,0.0,Neutral
1892,POLLYLYONS_,A super passionate travel industry sales professional. A busy working mother and wife who loves good food! All views are my own.,"England, United Kingdom",751,769,2741,1336402176973934593,ANDROID,2020-12-08,62,2,0,today marked start end covid19vaccine,['COVID19Vaccine'],1,England,ENGLAND,0.6,0.1,Positive
1895,Mpho_Tshilume,IG: @your.girl.debbie  🦋,"Pretoria, South Africa",304,317,244,1336402101711278081,APPLE,2020-12-08,115,0,0,imagine covid19 vaccine turns people legend zombies wont survive shem covid19vaccine,['COVID19Vaccine'],1,Pretoria,SOUTHAFRICA,0.0,0.0,Neutral
1898,rparker1877,"Steam trains.
Autistic.
🌈
@clydefc.
Studying for a Masters in Autism and campaigning to make a difference.
Engaged to @leemartin214. 
He/Him.","Cumbernauld, Scotland",384,97,2300,1336401882940633088,ANDROID,2020-12-08,225,2,0,dont drink spent five minutes googling buying gin parents christmas facebook adverts gin folk think theyre going tracked covid19vaccine boat sailed people,['COVID19Vaccine'],1,Cumbernauld,SCOTLAND,0.1,-0.1,Negative
1902,KansasCounties,"The Kansas Association of Counties seeks to advance the public interest by promoting effective, responsive county government in Kansas.","Topeka, Kansas",115,1301,6287,1336401503217598465,TWEETDECK,2020-12-08,173,0,1,covid19vaccine news margaret keenan 90 became first person world receive fullytested covid19 shot britain resident,['COVID19Vaccine'],1,Topeka,USA,0.3333333333333333,0.25,Positive
1905,tjohara74,"AU/DSU MBA lecturer in V'nam (Strat, L'ship, Fin) 8yrs: VNU, NEU. PGSM. ARMY ATC, OCS, Airborne. MBA/MSF. Early Childhood & VN War research. Pilot, sailor, golf","Bos, V. Nam, KL, S'pore, Jpn",1944,465,18484,1336401398804656129,APPLE,2020-12-08,289,0,0,covid19vaccine listened dr minced saloui amazed team amp vision manuf amp soon distributed mil miracle achieved ams f ams amp obama liars pres trump,['COVID19Vaccine'],1,Bos,VNAMKLSPOREJPN,0.0,0.0,Neutral
1906,dwaters59,"#Disabled #Marine #Vet, #Liberal #Photography #TheFutureIsFemale #Author #Chef #CraftBeer #LivingOutLoud #Resist #Equality 🌈 #CatsRule #Family #Buckeyes","Carolina, USA",2308,1415,27964,1336401243334451200,ANDROID,2020-12-08,206,0,0,covid19vaccine 90 effective hope 10 doesnt work magas beginning grand pooh bar gropenfuehrer worstever dotard liarinchief criminal murderer,"['COVID19Vaccine', 'MAGAs', 'gropenfuehrer', 'worstever', 'dotard', 'LiarinChief', 'Criminal', 'Murderer']",8,Carolina,USA,0.7833333333333333,0.23333333333333336,Positive
1908,Braders_GTTO,"One of those lefty types, believe in a fairer future for all. I also love throwin myself down steep trails on my MTB! Ex Labour

#JeremyCorbyn #DisabilityRights","Bristol, UK",6227,6395,48328,1336401182592471040,ANDROID,2020-12-08,138,0,0,ill get vaccinated turn comes protect loved ones nhs covid19vaccine,"['NHS', 'COVID19Vaccine']",2,Bristol,ENGLAND,0.9,0.09999999999999998,Positive
1915,RhysBull2,"Nottingham forest till I die
And lives in Cornwall","Truro, England",454,163,4299,1336400524351053826,ANDROID,2020-12-08,104,2,0,twitter dangerous cs people spout much shit covid19vaccine dont listen idiots,['COVID19Vaccine'],1,Truro,ENGLAND,0.8333333333333334,-0.5333333333333333,Negative
1916,Salilicious,"#LoveLondon #trippinonsolo #happyfeet #xjourno, #media #cooknakaho #bandraboydiaries #whatever","London, England",108,597,22519,1336400445762367494,APPLE,2020-12-08,115,0,0,well theres point dying hes 91 lifegoals covid19vaccine,"['lifegoals', 'COVID19Vaccine']",2,London,ENGLAND,0.0,0.0,Neutral
1917,DialThe8s,Our first concern as #Pennsylvania injury #lawyers is always you and your peace of mind.,"Harrisburg, Pennsylvania",182,409,2090,1336400270557913089,HOOTSUITE INC.,2020-12-08,182,1,1,covid19 vaccine vaccines become available could states mandate people get read information covid19vaccine schmidtkramer,"['covid19vaccine', 'schmidtkramer']",2,Harrisburg,USA,0.4,0.4,Positive
1923,DDNewslive,"Official Twitter account of DD News, the Public Broadcaster of India. हिंदी में @DDNewsHindi. Follow us on- https://t.co/hUdIpLotbt","New Delhi, India",76,3080044,179724,1336400153243246592,WEB,2020-12-08,244,26,4,mexican president andres manuel lopez obrador said hell wait turn covid19vaccine officials detailed plan prioritises health care workers elderly receive first doses vaccines,['COVID19Vaccine'],1,New Delhi,INDIA,0.3611111111111111,0.21666666666666667,Positive
1925,DeansterMc,☮️❤️🎵,"Paisley, Scotland",237,92,4245,1336399844974489602,ANDROID,2020-12-08,160,0,0,thats old dears getting chipped bill gates monitor bingo plandemic tell god dam plandemic grrrr grrrrr covid19vaccine,['COVID19Vaccine'],1,Paisley,SCOTLAND,0.5,-0.3,Negative
1927,neeneebucket,"Former political speechwriter, spokesperson, reporter. #Trump supporter. #MAGA, #TCOT, #CCOT. Poetry published at https://t.co/5EcBGUTara 
Book: 100ThingsPadres","Rancho Santa Fe, CA",2335,2006,19713,1336399669069373440,APPLE,2020-12-08,185,0,0,breaking breakingnews president trumpadministration holds operationwarpspeed vaccine summit trumpmaga covid19vaccine covid19 covid righttotry trump,"['BREAKING', 'BreakingNews', 'President', 'TrumpAdministration', 'OperationWarpSpeed', 'Vaccine', 'Summit', 'TrumpMAGA', 'COVID19Vaccine', 'COVID19', 'COVID', 'RightToTry', 'Trump']",13,Rancho Santa Fe,USA,0.0,0.0,Neutral
1932,HeyTomAbell,Deputy CEO @msehospitals | Non Exec @EasternAHSN | Trustee @aidsmap | Thoughts are my own | 🏳️‍🌈 | he/him,"England, United Kingdom",202,468,146,1336399395907100672,APPLE,2020-12-08,300,160,27,quite day covid19vaccine team 200 people vaccinated would never happened without hard work dedication team clinicians managers administrative staff corporate teams wearethenhs thank,"['COVID19Vaccine', 'WeAreTheNHS']",2,England,ENGLAND,0.2708333333333333,-0.14583333333333334,Negative
1935,rockingrobin2,helpful,"Atlanta, Georgia",408,295,19250,1336399270870650890,ANDROID,2020-12-08,244,0,0,bidenhealthteam helpisontheway thank presidentelectjoebiden vicepresidentelectharris highly qualified subject matter experts help us covid19 covid19vaccine puredoctrinesofchrist buildbackbetter sciencematters,"['BidenHealthTeam', 'helpisontheway', 'PresidentElectJoeBiden', 'VicePresidentElectHarris', 'COVID19', 'COVID19Vaccine', 'PureDoctrinesOfChrist', 'BuildBackBetter', 'ScienceMatters']",9,Atlanta,USA,0.43666666666666665,-0.003333333333333327,Negative
1936,KrishnaKallian1,"Excited and proud to join Chesterfield as their Executive Chief Nurse. Mum, Wife and Derby County supporter.","Derby, England",752,1252,936,1336398929957707776,APPLE,2020-12-08,243,90,7,covid19vaccine end historic day couldnt proud fantastic team effort heard inspiring stories impact covid,['COVID19Vaccine'],1,Derby,ENGLAND,0.725,0.42500000000000004,Positive
1937,BethMaldin,Deputy Commissioner for Emergency Preparedness & Response @nycHealthy. Opinions are my own.,"New York, NY",284,353,512,1336398914853933056,APPLE,2020-12-08,295,1,2,nyc prepares distribution covid19vaccine important always remember take following steps prevent transmission virus stay home sick keep physical distance 6ft keep hands clean wear face covering publichealth,"['COVID19Vaccine', 'publichealth']",2,New York,USA,0.56,0.010476190476190483,Positive
1940,KenAlter,actor/ producer,"Sterling Heights, MI",392,197,3404,1336398753121656837,APPLE,2020-12-08,177,1,0,project warp speed oh remember got done thats tweet covid19vaccine covid19 coronavirusvaccine coronavirusupdates covid taskforce operationwarpspeed,"['COVID19Vaccine', 'COVID19', 'CoronavirusVaccine', 'CoronaVirusUpdates', 'COVID', 'TaskForce', 'OperationWarpSpeed']",7,Sterling Heights,USA,0.0,0.0,Neutral
1943,TheAspenTimes,"Founded in 1881, The Aspen Times is the oldest and most-trusted print and online news outlet in Pitkin County, Colorado.","Aspen, CO",757,13186,60614,1336398642962288640,TWEETDECK,2020-12-08,293,1,1,vail health got special delivery tuesday morning colorado department public health environment conducted drill safely transport covid19 vaccine actually arrive colorado via covid19vaccine,['COVID19Vaccine'],1,Aspen,USA,0.30952380952380953,0.2142857142857143,Positive
1945,benwilky99,✨The Diary of Ben Wilkinson ✨,"Huddersfield, England",131,240,64734,1336398462200520704,APPLE,2020-12-08,109,0,0,im happy actually vaccine thats main thing covid19vaccine coronavirus covid19,"['COVID19Vaccine', 'Coronavirus', 'Covid19']",3,Huddersfield,ENGLAND,0.4777777777777778,0.32222222222222224,Positive
1947,BradPlays_,💖Welcome to My Profile! My name is Brad|14 Merry Christmas! ❄️❄️,"England, United Kingdom",144,81,3012,1336398361478516736,APPLE,2020-12-08,219,0,0,cant believe covid19vaccine england great news area southcant tell got vaccine im proud hopefully rolling everyone uk would nice,['COVID19Vaccine'],1,England,ENGLAND,0.9166666666666666,0.7333333333333334,Positive
1948,CopperBronzed,"💨following 100☞by rotation 🙅‍♀️no CLOSED accts followers‼🙏
ⓐ📇Info Gatherer ⓑPolyglot🦜 ⓒinterests➣🎶🖌️📸🔎+🗺️politics + assisting w/e possible ➣ⓓ I💛pix ✌","Ottawa, Canada's Capital",100,1321,238931,1336398346961948675,ANDROID,2020-12-08,129,0,0,covid19 covid19vaccine canada please pay attention reported south border,"['COVID19', 'COVID19Vaccine', 'Canada']",3,Ottawa,CANADA,0.0,0.0,Neutral
1959,Nameer89,"Surgeon in Training (again)
Liberal and awesome !!","London, England",241,205,851,1336397427004289035,ANDROID,2020-12-08,51,1,0,vday today getting covid19vaccine,"['VDay', 'COVID19Vaccine']",2,London,ENGLAND,0.0,0.0,Neutral
1960,CTValessandra,"Weekend anchor/Video Journalist @CTVBarrieNews
Story idea ? email me ! Alessandra.carneiro@bellmedia.ca / Views are my own","Barrie, Ontario",693,334,239,1336397218446798852,WEB,2020-12-08,61,1,0,also worth retweeting covid19vaccine,['COVID19Vaccine'],1,Barrie,CANADA,0.1,0.3,Positive
1961,chrisacoynepc,"Graphic Designer of URU Technology a Biometric Identity Card. industrial Design, Computer Systems and Services. Business Presentations.","England, United Kingdom",3163,143,2636,1336397163941810176,APPLE,2020-12-08,280,0,0,dranthonyfauci could bring proper apology harm caused promoting efficacy covid19vaccine said sorry apologise kind sometimes truthful america needs,"['DrAnthonyFauci', 'COVID19Vaccine']",2,England,ENGLAND,0.625,0.15,Positive
1962,ottawafamtree,"#genealogy #familyhistory McEwan, Wilson, Cadieux, Frood, O'Connor, Doyle, Dolan, Killeen, from Scotland, Ireland & France","Ottawa, Canada",4843,3134,60994,1336397156475953153,APPLE,2020-12-08,229,0,0,remember polio vaccine weekend elementary school vaccine put sugar cube dissolved mouth whole family lined another marvel covid19vaccine,"['polio', 'vaccine', 'COVID19Vaccine']",3,Ottawa,CANADA,0.65,0.25,Positive
1963,MarianBree,,"Clare, Ireland",313,151,1968,1336397097344655362,APPLE,2020-12-08,56,0,0,good man martin covid19vaccine,['COVID19Vaccine'],1,Clare,EUROPE,0.6000000000000001,0.7,Positive
1965,SarahLPoole,"Cake, coffee and wine loving mum doing communications for @manchesterfire @DeputyMayorofGM @greatermcr @MayorofGM Former news reporter","North West, England",458,1070,3256,1336396895233724418,APPLE,2020-12-08,126,3,0,nice one ted course well done maggie go history day covid19vaccine,['COVID19Vaccine'],1,North West,ENGLAND,1.0,0.6,Positive
1969,BernardBessis,"Vice President Global Governmentals Affairs for #Metrefsch AG -.My tweets are"" Against all odd"" .RT are not endorsements and opinions are my own.","Paris, France",1305,168,15427,1336396554916274182,WEB,2020-12-08,145,0,0,dear jamesbond receive pfizerbiontech vaccins covid19vaccine,"['JamesBond', 'PfizerBioNTech', 'vaccins', 'COVID19Vaccine']",4,Paris,EUROPE,0.0,0.0,Neutral
1970,DazHarmer,"Microwave radiation is toxic to all biological life.
Ex BT engineer. Qualified gardener.
Electrically sensitised by 4GLTE/5G Phone Mast emissions at home.","England, UK",449,1675,13060,1336396547974701062,WEB,2020-12-08,178,14,11,breaking usa fda announced 2 deaths pfizer vaccine trial participants serious adverse events covid19vaccine covid19,"['vaccine', 'COVID19Vaccine', 'COVID19']",3,England,ENGLAND,0.6666666666666666,-0.3333333333333333,Negative
1971,Waaambulance911,"The Official Waaambulance Police Twitter!
If someone is WHINING on Twitter... Tag us @Waaambulance911 ( + #CallTheWaaambulance) or Call us at Whine One One! 😁","New Orleans, LA",79,6,65,1336396414511943683,ANDROID,2020-12-08,280,1,0,donaldtrump piece sht understand wanting americans get covidvaccine coronavirusvaccine covid19vaccine fast giving executiveorder force drug makers give americans 1st wow trump pos,"['DonaldTrump', 'Americans', 'CovidVaccine', 'CoronavirusVaccine', 'COVID19Vaccine', 'ExecutiveOrder', 'Americans', 'Trump']",8,New Orleans,USA,0.8,0.15000000000000002,Positive
1972,GIDrDon,"Interventional Gastroenterologist in the East Los Angeles area with a passion for underserved subspecialty care, mentorship, and learning.🇵🇪","Los Angeles, CA",1415,1235,1641,1336396326901190658,ANDROID,2020-12-08,52,0,0,looking good covid19vaccine,['COVID19Vaccine'],1,Los Angeles,USA,0.6000000000000001,0.7,Positive
1974,chrisacoynepc,"Graphic Designer of URU Technology a Biometric Identity Card. industrial Design, Computer Systems and Services. Business Presentations.","England, United Kingdom",3163,143,2636,1336396270408257538,APPLE,2020-12-08,276,0,0,days ago tell truth american public news namely covid19vaccine trusted wanted,['COVID19Vaccine'],1,England,ENGLAND,0.03333333333333333,0.0,Neutral
1975,Al_Dhalla,"Lead generation, customer acquisition & client engagement. Hubspot, growth agency/Smarketing solutions. VP-Client Relations, on a mission to help SMB's.","Calgary, Alberta, Canada",4980,4166,59071,1336396249109389312,APPLE,2020-12-08,62,0,0,forwarding received covid19vaccine,['COVID19Vaccine'],1,Calgary,CANADA,0.0,0.0,Neutral
1976,ciarale01,"Work @mencap_charity & Ambassador @eveappeal & @jotrust & Trustee @sunnybankepsom & @h2htheatre & 
@dancesyndrome patron & I have a LD. & All Views are my own","Surrey, uk ",5707,5185,297192,1336396247486193666,ANDROID,2020-12-08,257,2,1,covid19vaccine want wearing face mask naughty swear word last injection led full panic attack cried room,['COVID19Vaccine'],1,Surrey,ENGLAND,0.5055555555555555,0.06666666666666665,Positive
1980,andyboyd77,Father and husband. Glentoran ST holder and armchair Kopite. History buff. Iron Maiden fanboy. Star Wars nerd.,"Belfast, Northern Ireland",147,105,1103,1336396132440793102,ANDROID,2020-12-08,113,2,0,nurse got covid19vaccine today arms going sore tonight absolutely butchered,['COVID19Vaccine'],1,Belfast,NORTHERNIRELAND,0.9,0.2,Positive
1982,ciarale01,"Work @mencap_charity & Ambassador @eveappeal & @jotrust & Trustee @sunnybankepsom & @h2htheatre & 
@dancesyndrome patron & I have a LD. & All Views are my own","Surrey, uk ",5707,5185,297192,1336396054804258817,ANDROID,2020-12-08,226,0,0,covid19vaccine want wearing face mask naughty swear word last one led full panic attack cried room,['COVID19Vaccine'],1,Surrey,ENGLAND,0.5055555555555555,0.06666666666666665,Positive
1983,birthofloves,"I love the moon. ☭
She/her.","♈️☀️♂️☿, ♍️🌙, ♉️♀️, ♋️ asc/⚸.",174,154,73946,1336396045299888130,WEB,2020-12-08,96,0,0,difference america china covid19vaccine china,"['COVID19Vaccine', 'China']",2,♈️☀️♂️☿,ASC,0.0,0.0,Neutral
1984,MeleeSkybar,"Disco, 80s Boogie DJ and purveyor of vinyl","England, United Kingdom",739,242,788,1336396003109457922,ANDROID,2020-12-08,127,0,0,wonder margaretkeenan spend day constantly rebooting updates windows 10 covid19vaccine billgates,"['MargaretKeenan', 'COVID19Vaccine', 'BillGates']",3,England,ENGLAND,0.3333333333333333,0.0,Neutral
1986,KarenCampbellTV,Journalist; God 1st; #certifiedpersonaltrainer #Zumba; Laughs at self daily; Retweets≠endorsements. @karenwthr; https://t.co/RaGpq1InGr,"Indianapolis, IN",3700,3740,12602,1336395900730609664,WEB,2020-12-08,188,3,4,theres point dying martin kenyon 91 becomes one first world get covid19vaccine hes waiting able hug grandkids,['COVID19Vaccine'],1,Indianapolis,USA,0.47916666666666663,0.375,Positive
1990,UoMMedTech,The University of Manchester MedTech Society. National Spoke of @MIC_Foundation,"Manchester, United Kingdom",101,81,52,1336395800453279745,APPLE,2020-12-08,116,2,0,highly informative summary thread covid19vaccine well worth read,['COVID19Vaccine'],1,Manchester,ENGLAND,0.31999999999999995,0.22999999999999998,Positive
1993,ciarale01,"Work @mencap_charity & Ambassador @eveappeal & @jotrust & Trustee @sunnybankepsom & @h2htheatre & 
@dancesyndrome patron & I have a LD. & All Views are my own","Surrey, uk ",5707,5185,297192,1336395524686163971,ANDROID,2020-12-08,200,11,1,last 2 injections led full blown panic attacks want covid19vaccine turn im already fearing poor person mine mayswearandcry,"['COVID19Vaccine', 'Mayswearandcry']",2,Surrey,ENGLAND,0.4055555555555556,-0.01666666666666668,Negative
1995,cspecberk,"Mom ❤️, communicator 📣, voice for the voiceless ✊, great baker 🍪, mediocre cook 🍲, wannabe gardener 🌿🥕🌻, TIME Person of the Year-2007","Orange County, CA",753,114,305,1336395445820510208,APPLE,2020-12-08,179,2,1,medical system prioritize frontlineworkers get covid19vaccine first eg er doctors pediatricians america 2020 absolutely shameful,"['frontlineworkers', 'COVID19Vaccine']",2,Orange County,USA,0.41111111111111115,0.15,Positive
1997,KhawazaMainUddi,Journalist,"Dhaka, Bangladesh",94,1508,10555,1336395175384387584,WEB,2020-12-08,92,0,0,oxfordastrazeneca covid19vaccine 70 effective full trial data,"['Oxford', 'AstraZeneca', 'COVID19Vaccine', 'effective']",4,Dhaka,BANGLADESH,0.675,0.475,Positive
